运动想象动作,出现次数
左手运动想象-右手运动想象,154
右手运动想象-右脚运动想象,34
右手运动想象-脚部运动想象,12
左手运动想象-右脚运动想象,11
左手运动想象-脚部运动想象,6
右手握拳运动想象-右脚运动想象,4
左手抓握想象-右手抓握想象,3
右手运动想象-左手运动想象,3
左手运动想象 - 右手运动想象,3
左手小指运动想象-舌头运动想象,3
右手反弹球想象-脚部抬起想象,3
右手运动想象-脚运动想象,3
右手运动想象-左脚运动想象,3
左脚运动想象-右脚运动想象 ,3
肩部的水平外展运动想象-内收运动想象,2
休息控制-运动控制,2
脚部运动想象-左手运动想象,2
想象光标向上-向下移动的动作,2
右手握拳运动想象-举左手运动想象,2
右臂屈曲运动想象-休息,1
右脚运动想象-左手运动想象,1
脚部运动想象-右手运动想象,1
食指运动想象-休息状态,1
"想象触觉感觉（Sensory Imagery, SI）",1
基于中国手语的手语想象如（我-你）,1
手腕屈伸运动想象,1
左腿与右臂运动想象-右腿与左臂运动想象,1
握紧右手运动想象-抬起右前臂运动想象,1
休息与抓握想象,1
目标字符-非目标字符,1
右方向运动想象-上方向运动想象,1
肘部伸展-肘部屈曲,1
手开闭运动想象,1
手腕的旋前-旋后,1
手腕的桡-尺偏斜的运动想象,1
手腕的屈曲-伸展运动想象,1
休息与肘部弯曲想象,1
肘部屈曲运动想象-肘部伸展运动想象,1
肩部的屈曲-伸展,1
肩部的垂直外展运动想象-内收运动想象,1
肘部的屈曲运动想象-伸展运动想象,1
右臂运动想象-左臂运动想象,1
静止状态下的放松想象-静止状态下的踩踏运动想象,1
向上运动想象-向右运动想象,1
双手拳头紧握-双脚运动想象,1
右侧手运动想象-左侧手运动想象,1
右手运动想象-双脚运动想象,1
右手握拳运动想象-脚部运动想象,1
左右手的对立运动想象,1
